5381522.65371,1225904.55457,40595
5408367.31339,1212328.94443,40595
5386311.46517,1211650.45484,40595
5398493.83349,1225263.16934,40595
5399802.08415,1195160.20756,40595
5388367.71620,1204733.77294,40595
5411279.52711,1187614.17606,40595
5396117.88320,1210907.66223,40595
5408445.96474,1212022.05416,40595
5379042.03259,1209499.70443,40595
5406200.86116,1190132.09668,40595
5393706.27837,1196403.83927,40595
5390212.51178,1207534.77072,40595
5390832.28119,1206570.30843,40595
5392733.87183,1221107.88561,40595
5414316.71106,1213037.86541,40595
5395628.38155,1231533.96288,40595
5407283.29947,1235338.62289,40595
5397234.98408,1220115.01597,40595
5395047.20831,1218524.00894,40595
5369780.77057,1222203.69217,40595
5399073.43522,1195079.81263,40595
5398227.40861,1207764.51788,40595
5391185.56392,1218623.23560,40595
5388713.13010,1229366.89841,40595
5392716.06547,1222457.09287,40595
5391736.05033,1216690.29306,40595
5375288.69597,1225724.05477,40595
5396981.43506,1220121.89565,40595
5399678.59798,1235553.16082,40595
5400671.75814,1203441.11316,40595
5377252.83674,1216643.11569,40595
5394877.92162,1211202.19099,40595
5405880.87723,1191565.27098,40595
5391259.17281,1198715.01445,40595
5408012.63149,1216060.13400,40595
5419315.05049,1214364.58084,40595
5403863.98286,1208682.18566,40595
5415799.08366,1238644.65848,40595
5414098.33369,1227751.39054,40595
5418393.79862,1182526.38217,40595
5397558.14647,1215365.45721,40595
5400771.63301,1223333.82645,40595
5403000.26953,1210742.63332,40595
5392338.05747,1222128.50983,40595
5400221.33985,1205419.16910,40595
5410955.22045,1242369.93671,40595
5395786.87830,1213439.00538,40595
5383133.96788,1221164.55072,40595
5410621.29103,1213456.58142,40595
5399464.39236,1223437.32627,40595
5396079.22810,1239530.61211,40595
5402231.71605,1209834.24107,40595
5402501.28600,1209868.58557,40595
5367389.56735,1230742.39057,40595
5388101.63569,1217072.66472,40595
5403948.73943,1211004.04038,40595
5371887.69806,1225528.84946,40595
5388563.06648,1201390.05269,40595
5378417.60604,1225080.15912,40595
5401045.71569,1217119.93870,40595
5378615.10292,1214563.26460,40595
5383598.43215,1218269.05599,40595
5404771.64243,1217254.00600,40595
5385050.78261,1218776.41588,40595
5396558.27239,1223346.20956,40595
5406419.81908,1215158.36230,40595
5398107.37379,1205678.97912,40595
5380058.18792,1198452.78209,40595
5392003.64962,1212091.88871,40596
5389771.48853,1199188.02307,40596
5397897.20329,1209384.97117,40596
5405949.74437,1213717.99940,40596
5400241.40473,1214906.23509,40596
5404833.72096,1213470.69498,40596
5409950.23881,1214579.68775,40596
5407689.45993,1233039.52923,40596
5407428.31002,1215136.87483,40596
5398578.95783,1216039.97459,40596
5396390.42232,1215041.15735,40596
5384452.29519,1211008.90590,40596
5398595.72418,1214180.30252,40596
